2026-05-14 09:28:05.149 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:05.215 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:05.215 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:06.248 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:07.259 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:08.255 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:08.255 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:08.265 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:09.270 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:10.293 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:11.277 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:11.279 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:11.287 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:12.316 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:13.323 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:14.300 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:14.303 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:14.315 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:15.336 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:16.353 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:17.334 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:17.335 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:17.370 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:18.383 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:19.392 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:20.375 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:20.376 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:20.406 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:21.427 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:22.437 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-14 09:28:23.391 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:23.391 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-14 09:28:23.447 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
