2026-05-26 06:39:01.089 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:01.090 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:01.091 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:01.091 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:01.092 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:01.200 [ WARNING] (      base_events.py:1931) Executing <Task finished name='Task-4661235' coro=<_CustomSock.recv_msg() done, defined at C:\Users\awsch\miniconda3\envs\nsp\Lib\site-packages\nspyre\data\server.py:86> result=b'' created at C:\Users\awsch\miniconda3\envs\nsp\Lib\asyncio\tasks.py:680> took 0.110 seconds
2026-05-26 06:39:01.201 [ WARNING] (      base_events.py:1931) Executing <Task finished name='Task-4661234' coro=<_CustomSock.recv_msg() done, defined at C:\Users\awsch\miniconda3\envs\nsp\Lib\site-packages\nspyre\data\server.py:86> result=b'' created at C:\Users\awsch\miniconda3\envs\nsp\Lib\asyncio\tasks.py:680> took 0.110 seconds
2026-05-26 06:39:01.201 [ WARNING] (      base_events.py:1931) Executing <Task finished name='Task-4661233' coro=<_CustomSock.recv_msg() done, defined at C:\Users\awsch\miniconda3\envs\nsp\Lib\site-packages\nspyre\data\server.py:86> result=b'' created at C:\Users\awsch\miniconda3\envs\nsp\Lib\asyncio\tasks.py:680> took 0.110 seconds
2026-05-26 06:39:01.202 [ WARNING] (      base_events.py:1931) Executing <Task finished name='Task-4661232' coro=<_CustomSock.recv_msg() done, defined at C:\Users\awsch\miniconda3\envs\nsp\Lib\site-packages\nspyre\data\server.py:86> result=b'' created at C:\Users\awsch\miniconda3\envs\nsp\Lib\asyncio\tasks.py:680> took 0.110 seconds
2026-05-26 06:39:01.202 [ WARNING] (      base_events.py:1931) Executing <Task finished name='Task-4661231' coro=<_CustomSock.recv_msg() done, defined at C:\Users\awsch\miniconda3\envs\nsp\Lib\site-packages\nspyre\data\server.py:86> result=b'' created at C:\Users\awsch\miniconda3\envs\nsp\Lib\asyncio\tasks.py:680> took 0.110 seconds
2026-05-26 06:39:02.086 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:02.366 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:02.368 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:02.376 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:03.101 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:04.118 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:04.151 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:04.152 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:04.153 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:04.154 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:04.154 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:05.123 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:05.420 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:05.422 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:05.423 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:06.148 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:07.154 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:07.209 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:07.210 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:07.211 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:07.211 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:07.212 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:08.189 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:08.433 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:08.434 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:08.434 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:09.221 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:10.245 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:10.266 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:10.267 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:10.268 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:10.270 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:10.271 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:11.260 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:11.467 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:11.469 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:11.470 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:12.280 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:13.285 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:13.296 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:13.297 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:13.297 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:13.298 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:13.298 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:14.311 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 06:39:14.518 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:14.520 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:14.522 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 06:39:15.341 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
